ticker,fcff_fair_value,fcfe_fair_value,fcff_status,fcfe_status,fcff_error,fcfe_error,current_price,timestamp
MIAX,,,Failed,Failed,'beta','beta',,2025-09-07 22:59:05
MJ,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 22:59:07
MLTX,,2.59,Failed,Success,'Interest Expense',,59.44,2025-09-07 22:59:08
MLYS,,0.53,Failed,Success,'Tax Provision',,34.8,2025-09-07 22:59:09
MOH,2426.83,2107.86,Success,Success,,,174.65,2025-09-07 22:59:11
MOMO,4157.05,754.0,Success,Success,,,8.52,2025-09-07 22:59:13
MSOS,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 22:59:16
MSOX,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 22:59:17
MTA,904.14,1111.94,Success,Success,,,5.6,2025-09-07 22:59:18
MYPS,18.97,20.94,Success,Success,,,0.9698,2025-09-07 22:59:19
NEO,-32.46,31.66,Success,Success,,,7.98,2025-09-07 22:59:21
NEON,-6.23,-4.4,Success,Success,,,5.11,2025-09-07 22:59:23
NFE,-405.22,-845.24,Success,Success,,,2.45,2025-09-07 22:59:25
NIO,-1160.56,-45.84,Success,Success,,,5.95,2025-09-07 22:59:27
NNDM,0.0,5.08,Success,Success,,,1.35,2025-09-07 22:59:29
NRGV,inf,inf,Success,Success,,,2.07,2025-09-07 22:59:31
NUGT,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 22:59:34
OLN,11385.02,8129.88,Success,Success,,,25.31,2025-09-07 22:59:35
OMER,0.0,0.11,Success,Success,,,4.17,2025-09-07 22:59:37
OPAD,-89.56,807.18,Success,Success,,,5.11,2025-09-07 22:59:39
OPEN,-6.42,28.79,Success,Success,,,6.65,2025-09-07 22:59:41
ORCL,244.91,273.3,Success,Success,,,232.8,2025-09-07 22:59:42
OTLK,,,Failed,Failed,'Capital Expenditure','Capital Expenditure',,2025-09-07 22:59:45
PACK,67.48,70.78,Success,Success,,,5.16,2025-09-07 22:59:46
PATH,,-18.67,Failed,Success,'Interest Expense',,11.49,2025-09-07 22:59:48
PCG,517.81,979.48,Success,Success,,,15.09,2025-09-07 22:59:50
PD,-51.14,-7.83,Success,Success,,,16.47,2025-09-07 22:59:52
PL,-13.33,-10.64,Success,Success,,,6.53,2025-09-07 22:59:54
PLYM,,,Failed,Failed,'Capital Expenditure','Capital Expenditure',,2025-09-07 22:59:56
PM,751.9,1078.95,Success,Success,,,161.55,2025-09-07 22:59:58
PSNY,-10.92,31.18,Success,Success,,,1.01,2025-09-07 23:00:00
PZZA,291.95,300.42,Success,Success,,,48.24,2025-09-07 23:00:02
QVCGA,0.0,488.24,Success,Success,,,9.085,2025-09-07 23:00:04
RBRK,,,Failed,Failed,'beta','beta',,2025-09-07 23:00:06
REMX,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 23:00:08
REPL,0.0,0.0,Success,Success,,,6.33,2025-09-07 23:00:09
RH,1158.68,1472.6,Success,Success,,,251.0,2025-09-07 23:00:11
RLMD,,,Failed,Failed,'Capital Expenditure','Capital Expenditure',,2025-09-07 23:00:13
RMTI,,-0.08,Failed,Success,'Tax Provision',,1.62,2025-09-07 23:00:15
RNA,,13.46,Failed,Success,'Tax Provision',,50.36,2025-09-07 23:00:17
ROIV,-0.23,15.07,Success,Success,,,12.92,2025-09-07 23:00:18
SAIL,,,Failed,Failed,'beta','beta',,2025-09-07 23:00:21
SATS,-2400.51,-3227.53,Success,Success,,,67.24,2025-09-07 23:00:22
SGMO,,-11.16,Failed,Success,'Interest Expense',,0.5472,2025-09-07 23:00:24
SHOT,,0.06,Failed,Success,'Tax Provision',,0.3865,2025-09-07 23:00:26
SIG,426.65,287.67,Success,Success,,,93.65,2025-09-07 23:00:28
SMC,0.0,433.88,Success,Success,,,23.04,2025-09-07 23:00:30
SNDL,0.0,4.39,Success,Success,,,2.48,2025-09-07 23:00:32
SNDX,,inf,Failed,Success,'Tax Provision',,17.04,2025-09-07 23:00:34
SNPS,418.26,370.02,Success,Success,,,598.14,2025-09-07 23:00:36
SNY,642.46,539.01,Success,Success,,,46.5,2025-09-07 23:00:38
SOGP,0.0,53.67,Success,Success,,,30.46,2025-09-07 23:00:40
SOLT,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 23:00:42
SOLZ,,,Failed,Failed,index 0 is out of bounds for axis 0 with size 0,index 0 is out of bounds for axis 0 with size 0,,2025-09-07 23:00:43
SQM,,,Failed,Failed,'Operating Cash Flow','Operating Cash Flow',,2025-09-07 23:00:44
SQNS,-1.22,-2.12,Success,Success,,,0.8614,2025-09-07 23:00:46
SRPT,281.35,-74.96,Success,Success,,,18.71,2025-09-07 23:00:48
STZ,825.55,672.19,Success,Success,,,148.43,2025-09-07 23:00:50
SWBI,157.76,147.89,Success,Success,,,8.74,2025-09-07 23:00:51
TLRY,-66.03,-89.29,Success,Success,,,1.19,2025-09-07 23:00:54
TROX,-861.41,-1380.45,Success,Success,,,4.48,2025-09-07 23:00:55
TSEM,444.28,443.74,Success,Success,,,63.21,2025-09-07 23:00:57
TTMI,96.55,121.31,Success,Success,,,47.7,2025-09-07 23:00:59
UAMY,0.0,0.32,Success,Success,,,4.51,2025-09-07 23:01:02
UEC,,-inf,Success,Success,,,11.17,2025-09-07 23:01:04
UP,0.0,0.0,Success,Success,,,2.0,2025-09-07 23:01:06
UTHR,2006.71,2609.07,Success,Success,,,400.52,2025-09-07 23:01:08
UUUU,-52.17,33.19,Success,Success,,,11.56,2025-09-07 23:01:09
UWMC,,,Failed,Failed,'Delta NWC','Delta NWC',,2025-09-07 23:01:12
VFF,-0.29,0.05,Success,Success,,,2.67,2025-09-07 23:01:14
VGZ,,0.15,Failed,Success,'Interest Expense',,1.37,2025-09-07 23:01:15
WEN,1171.74,417.74,Success,Success,,,10.33,2025-09-07 23:01:17
WOLF,-107.9,254.4,Success,Success,,,1.25,2025-09-07 23:01:20
WPM,254.7,238.02,Success,Success,,,104.24,2025-09-07 23:01:22
WY,233.9,204.47,Success,Success,,,26.15,2025-09-07 23:01:23
XFOR,inf,inf,Success,Success,,,3.5,2025-09-07 23:01:25
XNET,0.0,0.34,Success,Success,,,7.65,2025-09-07 23:01:27
ZEPP,-711.96,-136.81,Success,Success,,,49.98,2025-09-07 23:01:30
ZS,-62.39,-98.36,Success,Success,,,274.2,2025-09-07 23:01:32
